Author, Basename, URL
OdnetninI, brillantblocks, https://github.com/OdnetninI/Brilliant-Blocks-Minetest-Mod
Bas080, bees, https://github.com/bas080/bees/
Mitroman, magican, https://github.com/Mitroman/magican/
Calinou, snow, https://dl.dropboxusercontent.com/u/82342922/minetest/carbone-mods/snow.zip
Sokomine, bridges, https://github.com/Sokomine/bridges/
Bad_Command_, fireextinguisher, https://github.com/Bad-Command/fireextinguisher/
Sokomine, windmil, https://github.com/Sokomine/windmill/
Wuzzy, colorcubes, https://repo.or.cz/w/minetest_colorcubes/
philipbenr, mtfoods, https://github.com/Philipbenr/mtfoods/
VanessaE, gloopblocks, https://github.com/VanessaE/gloopblocks/
MasterGollum, darkage, https://github.com/MasterGollum/darkage/
rubenwardy, forceload, https://github.com/rubenwardy/forceload/
Krock, channels, https://github.com/SmallJoker/channels/
cactuz_pl, alphabet, http://en.wikipedia.org/wiki/Braille
JKMurray, jkmod, https://github.com/JKMurray/JKFarming
Zeg9, zmobs, https://github.com/Zeg9/minetest-zmobs/
Calinou, bones, https://dl.dropboxusercontent.com/u/82342922/minetest/carbone-mods/bones.zip
Doc, docfarming, http://tffs.castraponere.com/files/minetest/docfarming-1.1.1.zip
12Me21, gears, http://ompldr.org/vaWJweA/gears.zip
ray8888, beer, http://ompldr.org/vZjBlbw
Zeg9, itemframes, https://github.com/Zeg9/minetest-itemframes/
philipbenr, variator, https://github.com/Philipbenr/variator/
deivan, DOM-modpack-all, http://www.novoseusadosinformatica.com.br/arq/minetest/DOM-modpack-all.zip
paramat, spacesuit, https://github.com/paramat/spacesuit/
PilzAdam, beds, https://github.com/PilzAdam/beds/
aldobr, tbm, http://ompldr.org/vZ25qbA/tbm.zip
sdzen, building_blocks, https://gitorious.org/building-blocks-mod/building_blocks/archive-tarball/master
stu, hovercraft, https://github.com/stujones11/hovercraft/
jaandrle, meseingravel, https://github.com/jaandrle/meseingravel/
Aqua, mailbox, http://ompldr.org/vZnF6NQ
Calinou, jumping, https://dl.dropboxusercontent.com/u/82342922/minetest/carbone-mods/jumping.zip
paramat, catacomb, https://github.com/paramat/catacomb/
Bad_Command_, vendor, https://github.com/Bad-Command/vendor/
Calinou, itemframes, https://dl.dropboxusercontent.com/u/82342922/minetest/carbone-mods/itemframes.zip
PilzAdam, animals, http://ompldr.org/vZXpmZA/animals.zip
InfinityProject, fireworks, https://dl.dropbox.com/u/82668184/fireworks%20V0.3.zip
paramat, projects, https://github.com/paramat/projects/
PilzAdam, tnt, https://github.com/PilzAdam/TNT/
paramat, intersecting, https://github.com/paramat/intersecting/
DevynCJohnson, senderman, https://github.com/DevynCJohnson/DCJ-Minetest-Mods
BrandonReese, whereis, https://forum.minetest.net/download/file.php?id=906
oOChainLynxOo, crackedstone, https://github.com/oOChainLynxOo/crackedstone/
Zeg9, ufos, https://github.com/Zeg9/minetest-ufos/
Wuzzy, magicbeans_w, https://repo.or.cz/w/minetest_magicbeans_w/
Mitroman, moreslabs, https://github.com/Mitroman/moreslabs/
madchicken13, mblocks, http://m13server.weebly.com/uploads/9/4/7/8/9478345/color_gss0.1.zip
Wuzzy, playertools, https://repo.or.cz/w/minetest_playertools/
Krock, noisetest, https://github.com/SmallJoker/noisetest/
webdesigner97, parachute, https://github.com/webdesigner97/parachute/
Doc, chains, http://tffs.castraponere.com/files/minetest/chains-mod-1.1.zip
Doc, camomod, http://tffs.castraponere.com/files/minetest/camomod-1.0.zip
Calinou, paintings, https://dl.dropboxusercontent.com/u/82342922/minetest/carbone-mods/paintings.zip
Calinou, builtin_item, https://dl.dropboxusercontent.com/u/82342922/minetest/carbone-mods/builtin_item.zip
BlockMen, landscape, https://github.com/BlockMen/landscape/
Wuzzy, pedology, https://repo.or.cz/w/minetest_pedology/
Wuzzy, pseudonodes, https://repo.or.cz/w/minetest_pseudonodes/
Krock, mining_plus, https://github.com/SmallJoker/mining_plus/
cx384, special_picks, https://github.com/cx384/special_picks/
Wuzzy, wateringcan, https://repo.or.cz/w/minetest_wateringcan/
paramat, floatindev, https://github.com/paramat/floatindev/
kotolegokot, locked_sign, https://github.com/Kotolegokot/minetest-mod-locked_sign/
paramat, path, https://github.com/paramat/path/
Nemin32, nnt, https://github.com/Nemin32/NNT/
